64,128,256,512,1K,2K,4K,8K,16K,32K,64K,128K,256K,512K,1M
0.400000,0.420000,0.420000,0.480000,0.480000,0.440000,0.460000,1.500000,2.620000,5.700000,11.120000,22.530000,47.700000,89.390000,176.660000
0.030000,0.040000,0.030000,0.050000,0.060000,0.070000,0.110000,0.150000,0.300000,0.590000,1.200000,21.980000,44.680000,92.330000,179.460000
0.020000,0.020000,0.040000,0.030000,0.020000,0.040000,0.060000,0.110000,0.220000,0.570000,1.140000,2.380000,46.630000,89.370000,179.410000
0.020000,0.020000,0.040000,0.030000,0.030000,0.040000,0.060000,0.160000,0.230000,0.540000,1.130000,2.380000,48.490000,89.400000,194.390000
0.020000,0.020000,0.040000,0.020000,0.020000,0.040000,0.060000,0.100000,0.220000,0.550000,1.130000,2.370000,44.160000,91.210000,178.760000
0.020000,0.030000,0.030000,0.020000,0.030000,0.040000,0.060000,0.110000,0.230000,0.540000,1.150000,2.340000,44.430000,88.980000,186.200000
0.020000,0.020000,0.040000,0.020000,0.020000,0.030000,0.060000,0.110000,0.230000,0.550000,1.150000,2.300000,50.940000,89.740000,213.340000
0.020000,0.020000,0.030000,0.020000,0.030000,0.040000,0.050000,0.110000,0.220000,0.540000,1.130000,2.370000,51.670000,89.430000,208.560000
0.020000,0.020000,0.040000,0.020000,0.030000,0.040000,0.060000,0.110000,0.220000,0.550000,1.150000,2.410000,51.010000,89.440000,219.460000
0.020000,0.020000,0.040000,0.020000,0.030000,0.030000,0.050000,0.110000,0.220000,0.540000,1.130000,2.350000,44.160000,91.270000,213.001000
0.020000,0.020000,0.040000,0.020000,0.020000,0.040000,0.060000,0.100000,0.210000,0.570000,1.120000,2.360000,44.490000,120.211000,207.800000
0.020000,0.020000,0.030000,0.030000,0.030000,0.040000,0.060000,0.100000,0.230000,0.560000,1.160000,2.390000,44.310000,111.380000,215.670000
0.020000,0.020000,0.040000,0.020000,0.030000,0.040000,0.050000,0.100000,0.230000,0.540000,1.140000,2.350000,45.950000,89.750000,204.060000
0.020000,0.020000,0.030000,0.020000,0.030000,0.040000,0.050000,0.100000,0.220000,0.550000,1.150000,2.340000,44.050000,89.320000,179.090000
0.020000,0.020000,0.040000,0.030000,0.030000,0.030000,0.060000,0.100000,0.220000,0.540000,1.460000,2.420000,44.470000,89.260000,179.000000
0.020000,0.020000,0.040000,0.020000,0.030000,0.030000,0.060000,0.100000,0.220000,0.570000,1.450000,2.370000,44.350000,90.000000,180.380000
0.020000,0.020000,0.040000,0.020000,0.030000,0.030000,0.060000,0.110000,0.220000,0.560000,1.450000,2.370000,48.350000,90.040000,179.130000
0.020000,0.030000,0.040000,0.020000,0.030000,0.040000,0.060000,0.110000,0.220000,0.540000,1.420000,2.350000,43.930000,89.870000,194.660000
0.030000,0.020000,0.040000,0.020000,0.030000,0.040000,0.060000,0.100000,0.220000,0.550000,1.160000,2.340000,52.350000,89.910000,179.920000
0.020000,0.020000,0.040000,0.020000,0.020000,0.040000,0.050000,0.100000,0.220000,0.540000,1.160000,2.340000,44.210000,89.080000,180.800000
0.020000,0.020000,0.040000,0.020000,0.020000,0.040000,0.060000,0.100000,0.210000,0.550000,1.140000,2.330000,43.920000,100.370000,179.230000
0.030000,0.020000,0.040000,0.020000,0.030000,0.030000,0.050000,0.100000,0.220000,0.550000,1.120000,2.330000,44.150000,121.290000,179.210000
0.030000,0.030000,0.030000,0.020000,0.030000,0.040000,0.060000,0.150000,0.220000,0.560000,1.150000,2.400000,44.170000,91.900000,188.600000
0.030000,0.020000,0.040000,0.020000,0.020000,0.030000,0.050000,0.230000,0.220000,0.540000,1.140000,2.370000,43.870000,89.220000,178.740000
0.020000,0.020000,0.040000,0.020000,0.020000,0.030000,0.060000,0.190000,0.220000,0.540000,1.160000,2.370000,44.450000,89.180000,179.370000
0.020000,0.020000,0.040000,0.020000,0.020000,0.030000,0.050000,0.150000,0.220000,0.560000,1.100000,2.380000,43.960000,89.240000,181.340000
0.020000,0.020000,0.040000,0.020000,0.030000,0.040000,0.060000,0.160000,0.230000,0.550000,1.150000,2.410000,44.240000,89.160000,178.000000
