64,128,256,512,1K,2K,4K,8K,16K,32K,64K,128K,256K,512K,1M
32.180000,33.670000,33.740000,35.480000,41.170000,48.320000,74.160000,134.350000,210.000000,384.621000,742.290000,1458.500000,2850.981000,5750.231000,11603.193000
18.860000,23.500000,19.890000,22.330000,27.890000,38.090000,59.600000,111.270000,195.130000,371.250000,726.741000,1423.981000,2854.431000,5716.252000,11601.844000
17.710000,22.570000,18.930000,21.240000,26.570000,37.260000,58.460000,103.910000,194.101000,368.930000,786.210000,1438.560000,2905.441000,5763.091000,11361.043000
16.640000,30.100000,18.600000,20.950000,30.560000,39.640000,58.490000,102.600000,193.970000,367.710000,729.310000,1427.451000,2884.650000,5714.522000,11416.853000
16.810000,23.050000,18.220000,20.730000,27.390000,36.830000,58.380000,102.480000,193.430000,369.460000,726.410000,1407.620000,2907.291000,5693.381000,11325.723000
16.750000,18.660000,18.000000,21.080000,26.590000,36.760000,58.300000,145.590000,198.130000,367.710000,725.860000,1441.240000,2843.971000,5699.651000,11363.473000
16.530000,16.880000,18.380000,21.170000,26.210000,37.170000,60.680000,110.880000,192.610000,371.700000,721.301000,1474.041000,2863.961000,5672.732000,11394.303000
16.430000,26.420000,18.350000,20.990000,26.410000,36.880000,60.920000,103.470000,192.330000,375.740000,733.790000,1428.830000,2843.221000,5769.291000,11437.233000
16.980000,31.400000,18.480000,21.090000,26.450000,36.660000,58.030000,102.910000,193.490000,382.220000,726.440000,1434.671000,2854.420000,5682.122000,11369.263000
16.760000,30.210000,18.010000,20.890000,26.580000,36.980000,58.020000,102.330000,248.730000,369.561000,723.050000,1439.220000,2817.961000,5686.931000,11392.693000
16.560000,27.640000,18.530000,20.640000,26.070000,37.370000,58.160000,102.430000,208.100000,368.520000,840.830000,1458.400000,2845.871000,5685.541000,11412.723000
16.750000,19.150000,18.040000,20.600000,26.550000,36.640000,57.750000,120.680000,197.610000,369.050000,866.030000,1478.051000,2833.341000,5678.942000,11403.743000
16.720000,33.280000,18.090000,20.830000,26.360000,36.680000,58.340000,105.110000,194.440000,369.330000,723.830000,1442.090000,2879.550000,5682.011000,11399.383000
16.450000,19.960000,18.380000,20.760000,26.330000,36.950000,58.080000,102.730000,194.730000,373.370000,716.530000,1447.361000,2894.460000,5685.902000,11482.793000
16.550000,24.450000,18.240000,20.720000,26.030000,39.930000,58.080000,103.880000,196.240000,368.590000,721.500000,1426.130000,2867.541000,5678.701000,11446.723000
16.750000,85.120000,18.150000,21.040000,27.180000,36.920000,58.110000,102.620000,214.100000,367.250000,730.971000,1434.360000,2865.911000,5721.252000,11377.283000
16.640000,47.830000,35.820000,21.160000,26.240000,37.510000,58.640000,102.470000,217.820000,367.950000,730.200000,1444.431000,2856.751000,5695.261000,11454.693000
16.490000,19.200000,19.630000,20.830000,26.090000,36.940000,58.270000,110.571000,197.160000,368.250000,722.270000,1440.100000,2825.910000,5693.421000,11355.533000
16.590000,17.050000,18.350000,20.630000,26.090000,39.150000,58.020000,109.270000,199.251000,376.440000,886.460000,1431.711000,2865.310000,5696.442000,11361.173000
16.750000,16.970000,19.280000,21.450000,26.250000,36.990000,58.110000,109.770000,200.610000,367.901000,753.060000,1426.530000,2869.691000,5690.201000,11458.773000
16.570000,17.040000,22.710000,21.030000,26.070000,36.840000,58.600000,103.990000,194.270000,387.830000,731.201000,1430.320000,2853.361000,5677.562000,11342.503000
16.710000,16.910000,22.510000,20.840000,26.110000,36.600000,59.130000,103.340000,192.640000,378.940000,830.370000,1441.301000,2840.631000,5649.761000,11360.553000
16.800000,16.770000,22.690000,20.890000,31.240000,37.000000,59.920000,103.400000,216.270000,411.320000,749.560000,1420.280000,2840.040000,5697.572000,11388.113000
17.120000,16.570000,22.690000,20.700000,27.690000,45.130000,63.800000,102.860000,214.150000,412.970000,732.270000,1446.711000,2863.960000,5693.632000,11375.583000
16.840000,16.990000,23.640000,20.930000,26.240000,37.950000,59.620000,103.420000,239.440000,372.640000,736.271000,1430.580000,2869.461000,5700.521000,11418.313000
16.940000,17.540000,22.440000,20.810000,26.170000,36.720000,57.940000,102.770000,208.900000,368.290000,738.460000,1428.640000,2840.191000,5694.152000,11381.443000
17.150000,16.710000,22.740000,20.890000,26.450000,36.850000,57.900000,103.040000,204.110000,369.350000,762.260000,1426.771000,2840.591000,5685.101000,11412.713000
47.250000,16.570000,22.410000,20.730000,26.070000,37.950000,58.280000,106.890000,194.400000,380.220000,732.030000,1435.970000,2848.040000,5707.382000,11355.753000
17.910000,17.610000,22.500000,20.690000,26.490000,36.890000,57.970000,109.040000,207.120000,370.221000,734.910000,1419.011000,2860.981000,5671.551000,11348.753000
17.290000,16.640000,22.820000,23.930000,26.630000,36.680000,58.010000,103.330000,207.690000,366.560000,731.651000,1427.900000,2843.571000,5714.341000,11361.623000
17.080000,16.820000,23.180000,22.660000,27.220000,37.460000,58.910000,109.200000,194.720000,368.750000,732.870000,1427.610000,2864.721000,5694.762000,11369.793000
17.820000,16.970000,22.540000,20.850000,25.960000,37.510000,58.330000,106.410000,207.730000,368.070000,801.510000,1444.211000,2825.231000,5702.161000,11339.403000
16.590000,17.670000,22.560000,21.320000,27.330000,36.700000,58.430000,107.170000,197.920000,367.250000,744.880000,1419.500000,2834.360000,5687.372000,11388.293000
16.810000,16.590000,22.980000,21.920000,29.300000,36.690000,57.970000,103.140000,230.120000,367.960000,722.660000,1420.811000,2844.491000,5683.231000,11455.783000
16.780000,16.470000,22.380000,22.160000,26.250000,36.890000,58.400000,108.100000,229.811000,368.390000,725.991000,1434.190000,2813.661000,5764.952000,11379.913000
16.760000,17.180000,22.450000,20.600000,26.440000,37.160000,58.340000,104.460000,202.380000,367.960000,723.060000,1423.190000,2880.201000,5763.532000,11350.613000
16.740000,16.790000,23.030000,20.770000,26.230000,36.660000,58.080000,136.150000,192.810000,367.110000,765.540000,1444.341000,2839.731000,5711.731000,11351.023000
16.630000,16.560000,23.240000,21.100000,31.070000,36.950000,90.390000,107.190000,201.190000,391.081000,740.650000,1432.190000,2843.110000,5699.652000,11363.003000
16.560000,16.830000,22.500000,20.730000,27.950000,36.970000,75.750000,105.340000,204.110000,369.880000,718.711000,1412.891000,2835.211000,5689.871000,11331.733000
16.560000,16.950000,22.380000,20.780000,26.220000,36.650000,72.240000,102.380000,201.700000,368.280000,729.830000,1435.910000,2841.701000,5743.262000,11277.983000
16.790000,21.720000,22.690000,20.880000,26.400000,36.880000,72.010000,103.870000,194.510000,369.830000,729.060000,1429.050000,2857.711000,5704.512000,11339.553000
16.470000,17.650000,22.410000,20.640000,26.260000,36.810000,72.230000,102.560000,192.620000,369.110000,746.750000,1418.071000,2882.691000,5669.841000,11325.743000
16.870000,16.880000,18.400000,20.560000,26.040000,36.660000,72.960000,102.210000,196.990000,368.830000,739.220000,1440.130000,2846.280000,5730.172000,11353.793000
17.350000,16.640000,20.150000,20.730000,26.550000,36.880000,111.730000,102.300000,253.490000,368.410000,727.611000,1417.991000,2828.261000,5683.961000,11375.293000
16.510000,16.710000,18.370000,20.530000,26.260000,36.820000,85.180000,102.020000,203.290000,374.810000,728.850000,1430.310000,2844.191000,5702.612000,11415.533000
16.540000,17.010000,19.210000,20.750000,26.060000,36.730000,60.020000,102.660000,206.530000,368.270000,727.560000,1421.960000,2850.351000,5682.891000,11334.853000
16.920000,16.800000,18.200000,20.900000,26.000000,36.740000,58.140000,102.290000,219.250000,367.301000,742.070000,1417.591000,2838.201000,5712.391000,11312.363000
16.660000,16.590000,18.280000,20.840000,26.110000,73.180000,58.180000,122.160000,207.770000,383.280000,729.120000,1431.840000,2821.530000,5703.202000,11342.423000
17.130000,16.660000,18.110000,20.510000,28.630000,42.970000,60.540000,127.460000,191.250000,369.460000,731.541000,1422.751000,2906.881000,5687.081000,11367.443000
17.000000,16.810000,18.000000,20.680000,26.430000,40.090000,58.500000,115.710000,191.870000,368.110000,734.990000,1460.560000,2853.771000,5673.872000,11619.313000
16.960000,16.630000,18.250000,20.730000,26.300000,44.680000,58.450000,106.030000,195.521000,385.880000,727.910000,1435.710000,2826.161000,5722.961000,11541.773000
16.960000,16.550000,18.170000,20.500000,26.190000,37.480000,57.990000,102.800000,194.130000,368.490000,762.720000,1420.181000,2865.291000,5702.422000,11760.783000
17.060000,17.560000,18.150000,20.700000,29.130000,36.740000,58.050000,107.450000,192.410000,372.900000,726.970000,1424.650000,2868.910000,5710.202000,11505.773000
17.110000,16.810000,18.010000,21.350000,27.070000,37.140000,57.730000,102.450000,228.750000,375.440000,732.831000,1424.351000,2865.851000,5666.561000,11522.683000
16.960000,18.750000,18.340000,21.301000,32.870000,36.770000,57.970000,101.820000,229.460000,367.460000,733.550000,1427.640000,2861.011000,5699.402000,11388.193000
16.620000,16.710000,17.990000,20.960000,27.260000,36.540000,62.730000,103.150000,193.340000,367.570000,765.860000,1430.620000,2816.671000,5673.941000,11470.613000
16.610000,16.920000,17.970000,20.750000,26.170000,36.880000,71.000000,103.310000,210.690000,376.301000,812.010000,1420.751000,2866.811000,5695.522000,11743.823000
17.510000,16.560000,18.200000,21.160000,26.460000,36.720000,59.570000,102.440000,194.380000,374.090000,741.571000,1422.270000,2848.450000,5680.251000,11653.653000
16.870000,16.650000,18.480000,21.020000,26.210000,36.920000,57.920000,102.330000,197.740000,366.970000,733.750000,1428.541000,2805.611000,5707.121000,11550.443000
16.550000,16.920000,18.310000,20.660000,26.850000,36.890000,58.390000,107.070000,233.040000,366.840000,735.690000,1417.980000,2843.161000,5688.002000,11535.673000
17.170000,16.720000,18.190000,23.920000,26.100000,36.940000,58.340000,107.210000,211.870000,410.490000,726.780000,1431.330000,2841.641000,5724.701000,11433.273000
17.210000,16.780000,19.340000,20.920000,31.810000,36.900000,59.851000,106.000000,205.100000,461.630000,878.570000,1424.521000,2835.591000,5680.392000,11480.283000
16.550000,16.620000,18.230000,20.700000,31.890000,37.180000,58.840000,104.270000,193.220000,465.670000,817.601000,1495.690000,2857.780000,5697.181000,11436.913000
18.810000,16.640000,17.840000,20.720000,30.840000,36.670000,58.000000,101.830000,197.020000,429.490000,730.600000,1433.681000,2868.601000,5696.432000,11495.973000
16.680000,16.560000,18.210000,21.780000,26.710000,36.850000,57.870000,102.440000,204.830000,369.041000,723.410000,1433.330000,2853.081000,5699.522000,11785.433000
16.320000,16.580000,18.150000,20.830000,27.360000,37.080000,57.620000,102.730000,200.900000,445.450000,738.750000,1434.040000,2829.911000,5799.511000,11541.663000
16.730000,17.290000,18.060000,20.610000,26.120000,37.230000,58.470000,102.940000,193.671000,405.490000,734.970000,1425.401000,2850.790000,5848.442000,11470.153000
17.200000,16.800000,18.050000,21.110000,26.030000,39.520000,57.990000,105.230000,194.060000,368.800000,739.861000,1430.450000,2830.580000,5667.921000,11457.523000
16.590000,16.560000,18.290000,20.890000,26.290000,37.570000,57.790000,102.650000,190.930000,369.180000,725.160000,1439.541000,2847.711000,5665.092000,12784.673000
16.530000,16.600000,18.340000,20.750000,26.200000,36.740000,58.260000,102.400000,202.680000,368.640000,724.390000,1424.870000,2841.361000,5661.352000,11466.983000
17.150000,17.180000,18.090000,20.600000,26.000000,36.940000,58.170000,103.600000,197.320000,370.400000,721.230000,1433.430000,2929.371000,5672.721000,11449.373000
16.840000,17.790000,18.260000,26.390000,26.190000,36.610000,57.980000,103.210000,191.680000,368.590000,726.381000,1431.521000,2826.450000,5674.092000,11526.683000
16.430000,21.760000,18.090000,21.740000,31.260000,37.070000,57.780000,102.370000,198.730000,366.840000,733.940000,1415.330000,2831.500000,5714.061000,11466.613000
16.670000,17.450000,17.950000,20.840000,31.400000,36.660000,58.200000,102.190000,192.590000,371.021000,717.400000,1433.681000,2851.491000,5678.422000,11499.273000
17.010000,16.880000,17.950000,21.340000,27.600000,36.810000,57.820000,111.080000,191.210000,367.450000,729.800000,1417.730000,2840.671000,5685.711000,11460.493000
16.710000,16.480000,18.120000,21.010000,30.420000,36.660000,58.020000,104.430000,196.340000,384.460000,736.780000,1434.970000,2837.901000,5696.962000,11519.793000
