64,128,256,512,1K,2K,4K,8K,16K,32K,64K,128K,256K,512K,1M
0.410000,0.430000,0.470000,0.490000,0.490000,0.480000,0.530000,1.550000,2.950000,5.320000,15.040000,20.950000,43.230000,86.240000,177.180000
0.040000,0.040000,0.040000,0.050000,0.060000,0.090000,0.120000,0.170000,0.320000,0.670000,1.930000,2.590000,41.390000,82.660000,165.520000
0.020000,0.020000,0.020000,0.020000,0.030000,0.040000,0.060000,0.110000,0.250000,0.600000,1.280000,20.540000,42.110000,87.500000,170.230000
0.020000,0.030000,0.030000,0.020000,0.030000,0.040000,0.060000,0.120000,0.230000,0.580000,1.290000,2.560000,23.710000,73.810000,148.040000
0.020000,0.020000,0.030000,0.030000,0.030000,0.040000,0.060000,0.110000,0.230000,0.590000,1.310000,3.010000,41.900000,85.570000,170.780000
0.030000,0.030000,0.030000,0.020000,0.020000,0.040000,0.060000,0.110000,0.240000,0.590000,1.710000,2.660000,23.440000,65.230000,148.370000
0.020000,0.020000,0.020000,0.020000,0.030000,0.040000,0.060000,0.110000,0.240000,0.590000,1.290000,2.620000,42.090000,85.460000,198.820000
0.030000,0.030000,0.020000,0.020000,0.030000,0.040000,0.060000,0.120000,0.250000,0.580000,1.290000,3.020000,23.370000,64.980000,149.130000
0.020000,0.020000,0.030000,0.030000,0.030000,0.040000,0.060000,0.110000,0.250000,0.600000,1.290000,2.770000,41.870000,85.340000,170.931000
0.020000,0.020000,0.030000,0.030000,0.030000,0.040000,0.060000,0.110000,0.240000,0.580000,1.280000,2.650000,23.440000,65.220000,148.460000
0.020000,0.030000,0.020000,0.020000,0.020000,0.040000,0.060000,0.110000,0.240000,0.600000,1.300000,2.580000,41.980000,85.440000,172.021000
0.030000,0.020000,0.020000,0.030000,0.030000,0.040000,0.060000,0.110000,0.220000,0.600000,1.270000,2.580000,23.490000,65.110000,149.030000
0.020000,0.020000,0.030000,0.020000,0.030000,0.040000,0.060000,0.110000,0.230000,0.570000,1.300000,2.590000,82.440000,85.480000,203.250000
0.030000,0.030000,0.030000,0.030000,0.030000,0.040000,0.060000,0.110000,0.220000,0.600000,1.270000,2.620000,31.170000,65.040000,149.820000
0.020000,0.020000,0.020000,0.030000,0.030000,0.040000,0.060000,0.120000,0.220000,0.580000,1.300000,2.950000,50.490000,85.160000,200.390000
