64,128,256,512,1K,2K,4K,8K,16K,32K,64K,128K,256K,512K,1M
114.350000,201.711000,365.360000,702.660000,1562.191000,2738.631000,5386.262000,10736.743000,21121.455000,42779.131000,88030.713000,167921.124000,346065.621000,695868.493000,1396613.057000
110.950000,183.490000,350.990000,684.070000,1383.120000,2875.690000,5578.761000,11187.533000,20998.926000,42062.731000,83629.121000,165904.764000,344656.240000,697275.233000,1409495.850000
100.570000,183.410000,349.930000,714.441000,1351.951000,2696.541000,5359.202000,10867.663000,20923.175000,42092.471000,83867.322000,166108.944000,345860.661000,695591.522000,1398309.417000
98.680000,181.420000,349.251000,677.740000,1335.360000,2835.861000,5403.611000,11006.663000,21309.546000,42132.901000,84979.833000,166817.033000,347600.571000,694903.112000,1487011.420000
98.461000,182.120000,349.000000,678.290000,1316.800000,2729.981000,5299.341000,10703.003000,21112.345000,42139.151000,83626.272000,166166.034000,345320.231000,695340.712000,1411638.040000
99.090000,181.850000,350.330000,673.230000,1469.921000,2679.250000,5276.322000,10535.952000,20989.586000,42804.181000,83739.882000,166076.223000,347145.131000,695832.692000,1396144.086000
100.230000,182.700000,348.740000,700.930000,1348.600000,2649.411000,5341.861000,10534.423000,21032.985000,42997.222000,83211.032000,166576.553000,346213.191000,699288.084000,1403942.028000
98.670000,183.400000,348.640000,710.451000,1345.760000,2771.451000,5243.632000,10732.583000,21112.776000,43404.811000,82802.251000,166613.924000,343983.320000,695963.632000,1415925.081000
99.090000,180.720000,355.820000,693.780000,1342.141000,2805.320000,5290.571000,10638.903000,20996.165000,42634.011000,82351.642000,166638.634000,346289.791000,699543.104000,1404980.829000
99.690000,181.900000,344.390000,687.880000,1590.080000,2650.851000,5476.311000,10564.063000,21011.386000,44881.352000,82735.552000,166672.223000,345035.520000,696734.083000,1403877.608000
99.530000,237.950000,344.720000,672.600000,1389.720000,2655.591000,5280.792000,10755.252000,21098.466000,43838.651000,83011.211000,166105.664000,348080.741000,697433.053000,1393677.196000
98.930000,226.470000,345.080000,670.750000,1346.511000,2690.631000,5264.551000,10577.073000,20947.355000,42972.992000,82449.682000,166705.284000,342383.010000,695231.012000,1387344.634000
99.280000,200.560000,344.450000,680.121000,1327.950000,2640.580000,5382.992000,10568.623000,21051.646000,43113.541000,82184.482000,166722.653000,347414.021000,690811.302000,1431936.166000
99.080000,181.470000,344.651000,724.720000,1345.191000,2620.061000,5237.501000,10602.273000,20919.865000,43844.811000,82132.931000,165352.183000,346596.221000,692165.041000,1423308.293000
102.500000,180.800000,344.400000,723.040000,1342.170000,2629.191000,5300.601000,10521.192000,21170.346000,43256.941000,83290.522000,165337.213000,345699.681000,693590.952000,1393231.585000
113.360000,180.600000,355.000000,675.990000,1335.890000,2636.480000,5417.662000,10513.993000,21143.275000,43356.961000,83633.102000,165905.134000,343795.850000,692472.912000,1397109.117000
118.570000,181.520000,348.850000,674.300000,1462.161000,2665.841000,5250.261000,10485.013000,21068.116000,42696.341000,83647.302000,165095.993000,344577.200000,694722.332000,1397626.116000
115.010000,180.840000,350.200000,674.360000,1360.250000,2842.401000,5268.302000,11100.373000,21056.295000,42578.621000,83406.502000,165472.604000,346759.541000,694843.512000,1397388.916000
114.400000,180.541000,352.030000,674.131000,1338.680000,2906.091000,5273.461000,10561.453000,21099.656000,42744.261000,83474.792000,166800.373000,345862.571000,693934.262000,1394392.856000
117.170000,180.600000,357.450000,795.520000,1461.171000,2647.890000,5279.311000,10573.572000,20956.165000,43013.151000,82862.641000,166319.694000,344802.431000,695200.772000,1399781.607000
116.870000,180.350000,352.880000,696.030000,1356.420000,2652.171000,5268.682000,10833.223000,20999.686000,42856.531000,82595.252000,166549.194000,344309.420000,692834.581000,1393976.125000
120.240000,180.590000,348.720000,682.410000,1347.830000,2643.321000,5329.191000,10636.913000,21001.755000,42771.681000,82752.372000,166870.333000,345044.611000,691508.002000,1395007.135000
112.000000,183.220000,348.100000,680.410000,1351.921000,2638.330000,5442.232000,10597.713000,20993.576000,42508.891000,83281.082000,165924.334000,346879.431000,691973.131000,1397995.286000
99.560000,179.260000,349.110000,682.591000,1331.050000,2722.981000,5279.391000,10811.433000,21007.765000,42317.441000,83701.212000,166157.264000,343661.300000,693260.032000,1401498.737000
115.170000,179.620000,348.911000,734.190000,1333.961000,2663.121000,5260.471000,10530.753000,21053.766000,42625.771000,82620.331000,165754.073000,346171.671000,693549.652000,1398441.217000
110.940000,179.280000,348.970000,733.850000,1340.610000,2626.621000,5405.702000,10559.472000,21059.405000,42529.511000,82825.472000,165934.144000,345709.420000,694288.993000,1393351.486000
98.800000,179.510000,347.810000,681.980000,1347.970000,2643.840000,5280.111000,10759.523000,21081.196000,42248.711000,82898.882000,167266.744000,346954.721000,694189.962000,1394726.896000
99.250000,179.370000,344.930000,681.760000,1339.221000,2663.881000,5217.402000,10553.313000,21143.156000,41890.260000,82765.812000,165928.863000,344442.950000,697905.683000,1398516.767000
99.070000,179.540000,344.810000,675.411000,2153.090000,2652.491000,5459.031000,10526.263000,21123.005000,42309.731000,83193.491000,169196.785000,346479.711000,694001.892000,1396986.366000
98.600000,179.460000,345.860000,682.050000,1423.890000,2652.830000,5239.001000,10729.862000,21190.766000,42317.881000,83029.282000,165827.863000,346236.681000,693220.082000,1405857.598000
99.970000,189.720000,410.440000,690.820000,1340.171000,2685.331000,5236.962000,10549.512000,20965.215000,42373.811000,83947.982000,165901.154000,345028.310000,697442.643000,1391569.035000
98.490000,181.830000,383.880000,676.850000,1358.340000,2619.581000,5459.131000,10506.223000,21111.516000,42438.401000,83744.442000,165760.273000,344991.201000,697942.213000,1385656.113000
98.070000,179.590000,345.610000,682.450000,1334.170000,2607.660000,5279.082000,10744.623000,24674.746000,42120.811000,83529.012000,165937.954000,345636.531000,693681.492000,1390816.274000
98.000000,178.850000,344.630000,674.930000,1341.161000,2632.901000,5252.961000,10588.703000,21191.886000,42262.931000,83841.742000,165437.303000,345939.370000,697540.313000,1396104.716000
98.400000,179.470000,356.291000,668.221000,1419.290000,2661.281000,5513.672000,10567.142000,21089.585000,42129.991000,83233.692000,164927.243000,347712.282000,695987.322000,1399247.147000
97.981000,179.500000,349.240000,666.310000,1409.311000,2626.631000,5323.611000,10819.433000,21030.136000,42191.251000,83328.412000,165133.884000,344458.970000,695271.243000,1397342.297000
98.510000,179.370000,348.270000,671.920000,1353.660000,2755.330000,5271.601000,10548.763000,21168.895000,42235.871000,83188.242000,165384.703000,347348.521000,695121.362000,1397467.486000
98.720000,179.391000,349.030000,667.550000,1355.760000,2655.191000,5314.972000,10599.813000,21260.706000,43612.391000,82930.132000,164931.623000,347858.252000,693059.182000,1397055.546000
98.510000,179.230000,347.250000,666.800000,1323.901000,2665.031000,5264.501000,10726.943000,21021.196000,43045.501000,83210.471000,164931.064000,345703.340000,689576.321000,1395674.606000
98.720000,180.080000,349.710000,665.801000,1331.980000,2661.740000,5236.921000,10572.152000,21187.495000,43614.082000,83660.592000,165920.153000,347456.811000,691311.281000,1402125.777000
98.570000,192.300000,343.210000,667.320000,1323.160000,2670.181000,5433.592000,10522.143000,21150.986000,42165.551000,84047.022000,164746.533000,348182.811000,692501.822000,1397219.736000
98.350000,181.320000,353.090000,665.200000,1323.261000,2645.291000,5272.821000,10487.963000,20938.995000,42386.181000,83957.262000,165570.494000,347073.071000,686893.130000,1405792.229000
98.700000,188.510000,343.940000,670.960000,1351.230000,3096.391000,5241.172000,10447.723000,21191.356000,42428.631000,84012.842000,165275.163000,345740.471000,690475.761000,1396187.076000
98.260000,181.580000,343.050000,670.780000,1335.800000,2644.650000,5321.651000,10536.382000,20829.715000,42741.421000,83265.391000,165543.904000,345098.390000,697836.853000,1405132.558000
99.140000,181.270000,342.911000,668.680000,1329.021000,2654.881000,5259.051000,10514.113000,21025.846000,42811.032000,82901.842000,165566.933000,345661.471000,700509.213000,1392451.965000
105.770000,181.210000,343.700000,676.311000,1327.060000,2636.211000,5259.882000,10429.723000,21029.635000,43342.481000,84987.652000,164865.973000,347897.521000,698775.483000,1387316.854000
97.970000,181.590000,344.130000,669.600000,1319.370000,2619.720000,5295.041000,10544.413000,21167.136000,43321.121000,85654.433000,165337.854000,345144.540000,698418.573000,1390641.224000
97.530000,181.590000,349.900000,693.230000,1334.321000,2649.461000,5329.042000,10510.553000,21322.195000,42452.722000,84427.632000,164462.213000,348324.891000,698654.854000,1396755.976000
97.760000,181.480000,345.950000,674.970000,1390.440000,2727.341000,5246.051000,10848.552000,21244.436000,42534.231000,87120.873000,165246.743000,345249.150000,697603.433000,1404343.259000
96.890000,180.460000,345.130000,664.710000,1339.751000,2656.831000,5319.321000,10719.653000,21822.886000,42834.671000,83617.002000,166395.514000,344507.311000,699813.253000,1399283.767000
97.200000,189.880000,361.080000,666.401000,1321.900000,2659.150000,5289.092000,10542.063000,21116.365000,42785.921000,83456.262000,166466.264000,346138.970000,702350.995000,1393137.536000
97.260000,182.520000,356.990000,681.900000,1329.500000,2642.211000,5272.941000,10599.373000,21098.276000,43644.722000,83551.472000,166392.783000,345129.441000,696178.432000,1396446.826000
97.250000,181.340000,447.540000,679.540000,1336.221000,2657.521000,5271.602000,10511.003000,21252.815000,43500.791000,83814.982000,165320.394000,348154.181000,697363.513000,1406854.309000
96.870000,180.170000,360.560000,679.360000,1344.760000,2662.850000,5515.211000,10516.542000,20984.036000,42897.541000,83442.522000,167447.504000,347447.532000,700153.184000,1399017.217000
