64,128,256,512,1K,2K,4K,8K,16K,32K,64K,128K,256K,512K,1M
29.370000,28.060000,25.760000,25.520000,30.210000,25.860000,26.090000,33.860000,36.170000,52.230000,78.940000,129.500000,239.410000,453.970000,1014.701000
17.940000,18.780000,18.000000,17.680000,18.380000,18.030000,18.160000,22.060000,28.570000,41.500000,68.720000,122.810000,274.860000,473.320000,898.800000
17.210000,17.080000,16.940000,16.690000,16.780000,17.040000,17.220000,20.840000,28.060000,39.790000,83.790000,163.860000,241.330000,455.150000,903.341000
16.830000,16.800000,16.660000,16.870000,16.720000,17.160000,17.090000,20.560000,27.510000,40.200000,83.490000,141.340000,231.560000,501.151000,893.390000
16.710000,17.000000,16.650000,16.710000,17.210000,16.850000,16.900000,20.800000,27.400000,39.340000,84.190000,121.510000,232.520000,484.610000,892.040000
16.490000,16.980000,16.500000,16.590000,16.700000,16.650000,16.720000,20.760000,27.120000,39.860000,83.050000,121.210000,227.460000,455.230000,899.080000
16.720000,17.040000,16.620000,16.920000,16.860000,16.580000,16.610000,20.600000,27.450000,39.520000,81.880000,121.620000,236.440000,449.950000,887.810000
16.650000,16.500000,16.730000,16.650000,17.150000,16.640000,16.530000,20.780000,27.150000,40.990000,87.020000,120.990000,228.440000,457.000000,890.601000
16.570000,17.160000,16.860000,16.450000,16.840000,16.540000,16.460000,20.590000,27.470000,39.700000,83.630000,119.820000,227.530000,461.230000,897.470000
16.910000,16.720000,16.470000,16.420000,16.970000,16.620000,16.860000,21.920000,27.130000,39.440000,70.091000,119.210000,230.290000,444.570000,886.320000
16.600000,16.490000,16.600000,16.800000,16.650000,16.890000,16.810000,20.300000,26.950000,40.350000,65.490000,119.960000,257.210000,455.330000,1054.100000
16.580000,16.850000,16.790000,17.020000,16.700000,17.160000,16.660000,20.730000,26.970000,39.680000,65.410000,120.380000,264.610000,449.670000,923.880000
16.470000,16.810000,16.550000,16.570000,16.600000,16.600000,16.570000,20.310000,26.970000,39.960000,65.010000,122.080000,226.390000,443.030000,931.080000
16.620000,16.670000,16.680000,16.850000,17.190000,16.530000,16.720000,20.720000,27.020000,39.370000,65.500000,118.790000,227.290000,453.390000,904.180000
16.450000,16.600000,16.800000,16.840000,17.000000,16.820000,16.530000,20.740000,29.710000,41.960000,64.610000,118.590000,238.220000,444.060000,881.961000
16.650000,17.450000,16.770000,16.440000,16.710000,16.590000,16.720000,20.780000,26.950000,38.770000,68.560000,119.680000,230.940000,446.590000,889.720000
16.800000,17.030000,16.340000,16.660000,16.720000,16.630000,17.570000,20.870000,27.250000,39.490000,65.070000,120.160000,229.510000,463.240000,892.100000
16.810000,16.800000,16.440000,17.000000,16.750000,16.960000,16.750000,20.530000,27.260000,39.230000,65.480000,124.720000,227.531000,461.451000,890.030000
16.410000,16.570000,16.690000,16.570000,16.990000,19.280000,16.790000,20.570000,27.510000,39.230000,65.350000,119.240000,230.110000,458.700000,891.840000
16.580000,16.740000,16.490000,16.490000,16.680000,16.500000,16.870000,21.400000,28.660000,38.960000,65.270000,119.540000,227.180000,459.070000,888.441000
16.960000,16.650000,16.440000,16.860000,16.620000,16.740000,17.050000,20.230000,27.140000,39.300000,65.060000,154.910000,229.680000,458.720000,899.460000
