64,128,256,512,1K,2K,4K,8K,16K,32K,64K,128K,256K,512K,1M
41.920000,43.470000,37.180000,45.650000,34.270000,35.260000,44.760000,45.660000,45.440000,49.440000,85.190000,81.920000,100.570000,192.500000,365.920000
24.330000,24.100000,23.990000,24.100000,23.740000,23.790000,37.400000,27.490000,27.720000,31.810000,40.840000,63.550000,101.130000,168.750000,340.830000
22.600000,22.380000,22.480000,22.530000,22.200000,22.510000,35.620000,24.860000,26.360000,29.130000,37.120000,69.540000,95.710000,163.590000,322.420000
22.490000,22.130000,21.910000,22.210000,22.290000,22.300000,35.560000,24.190000,25.800000,29.070000,36.900000,70.840000,105.400000,165.761000,312.500000
21.950000,22.110000,22.060000,21.910000,22.040000,22.020000,35.501000,24.730000,25.910000,30.060000,36.390000,66.210000,95.980000,201.180000,382.740000
22.020000,21.970000,22.020000,22.510000,22.170000,22.210000,32.260000,23.920000,25.740000,29.060000,36.350000,67.920000,93.741000,170.620000,323.490000
21.870000,22.000000,21.900000,22.210000,21.910000,22.340000,27.150000,24.220000,25.240000,29.010000,36.380000,68.340000,96.000000,162.220000,316.950000
21.930000,21.860000,22.170000,22.060000,24.430000,22.080000,23.030000,23.470000,25.610000,29.350000,36.270000,72.140000,96.160000,160.600000,311.330000
22.520000,21.990000,21.890000,22.900000,21.730000,21.820000,22.010000,23.900000,26.060000,29.520000,35.040000,70.880000,93.550000,161.370000,327.260000
22.140000,21.820000,22.000000,22.260000,21.820000,21.920000,21.970000,23.940000,25.630000,29.631000,36.840000,58.460000,91.790000,161.340000,319.181000
21.680000,21.800000,22.040000,22.150000,21.910000,22.230000,21.650000,23.900000,25.630000,29.560000,37.300000,58.170000,92.140000,161.750000,315.510000
22.030000,22.050000,26.080000,21.940000,21.910000,22.190000,21.760000,23.970000,25.350000,28.640000,35.790000,57.520000,91.620000,160.410000,315.570000
