64,128,256,512,1K,2K,4K,8K,16K,32K,64K,128K,256K,512K,1M
45.610000,39.580000,44.930000,37.940000,36.110000,37.930000,39.420000,41.990000,40.250000,43.650000,54.060000,73.210000,134.450000,167.020000,280.590000
26.690000,26.460000,26.190000,26.070000,26.620000,26.780000,27.170000,28.960000,30.140000,33.570000,40.770000,57.830000,100.210000,153.320000,273.330000
24.650000,25.330000,24.770000,24.330000,24.630000,24.830000,24.710000,26.630000,28.250000,31.840000,39.720000,54.810000,88.740000,151.360000,261.830000
24.080000,24.750000,24.480000,23.780000,24.000000,24.180000,24.700000,26.870000,27.880000,32.680000,38.190000,54.480000,92.760000,151.320000,333.820000
60.880000,24.310000,24.000000,23.950000,24.090000,24.450000,24.730000,26.190000,28.480000,36.610000,39.280000,54.840000,91.650000,153.270000,278.940000
38.570000,25.170000,24.110000,23.900000,24.130000,24.260000,24.040000,27.350000,32.900000,31.370000,38.650000,54.330000,90.680000,153.090000,253.320000
31.400000,24.270000,24.160000,23.620000,24.240000,24.090000,23.890000,26.820000,27.410000,31.160000,38.400000,53.300000,90.400000,156.821000,261.430000
31.460000,24.240000,24.020000,23.710000,24.610000,23.920000,23.940000,26.550000,28.560000,31.220000,39.530000,54.450000,96.960000,149.350000,261.800000
29.910000,24.120000,58.000000,23.970000,23.890000,24.810000,23.950000,26.320000,27.640000,31.210000,38.680000,54.140000,92.630000,145.260000,255.420000
29.620000,24.070000,30.770000,23.570000,24.160000,24.300000,24.070000,27.260000,27.440000,31.060000,45.330000,55.700000,91.660000,143.090000,251.720000
29.510000,24.040000,24.540000,23.740000,23.740000,25.060000,23.890000,27.230000,27.180000,31.040000,37.720000,54.180000,92.110000,143.730000,250.990000
29.900000,24.120000,23.880000,23.980000,24.190000,24.500000,24.100000,26.140000,27.390000,30.961000,38.010000,54.760000,90.450000,146.300000,249.380000
29.540000,24.020000,24.140000,23.720000,24.070000,24.610000,23.920000,26.560000,27.310000,31.530000,38.240000,54.360000,90.370000,146.490000,254.500000
28.950000,24.090000,23.970000,23.770000,23.990000,49.950000,23.990000,26.140000,27.310000,31.080000,37.720000,55.910000,88.970000,146.980000,278.540000
23.860000,23.920000,23.930000,24.040000,24.050000,27.070000,24.110000,26.080000,27.570000,30.990000,42.590000,55.790000,90.010000,220.630000,251.960000
24.010000,24.320000,23.970000,23.790000,23.950000,24.270000,24.010000,26.140000,27.250000,31.260000,37.670000,55.960000,95.620000,163.800000,250.610000
23.900000,24.090000,23.690000,23.570000,23.820000,24.230000,23.840000,25.740000,27.460000,30.850000,38.080000,54.460000,92.720000,142.490000,251.270000
23.720000,24.740000,23.770000,24.290000,23.960000,24.170000,24.080000,26.240000,27.340000,31.760000,39.730000,100.040000,88.590000,142.920000,250.170000
23.910000,24.170000,23.980000,23.740000,23.910000,23.950000,24.370000,25.810000,28.720000,30.820000,38.000000,68.870000,86.580000,146.000000,368.960000
23.990000,23.880000,23.700000,23.800000,24.180000,24.110000,24.360000,26.580000,27.160000,31.180000,38.710000,66.740000,91.590000,144.800000,263.560000
23.830000,24.730000,24.080000,23.720000,23.930000,24.050000,23.880000,27.670000,27.380000,31.840000,38.910000,57.390000,87.540000,143.740000,257.610000
23.800000,26.180000,23.590000,24.040000,24.070000,23.880000,23.860000,26.000000,27.930000,31.720000,37.900000,53.840000,86.200000,161.450000,257.851000
