64,128,256,512,1K,2K,4K,8K,16K,32K,64K,128K,256K,512K,1M
42.860000,42.230000,39.560000,45.100000,55.140000,72.400000,109.460000,183.290000,357.740000,645.590000,1203.011000,2756.661000,5163.112000,10151.353000,19472.635000
23.680000,24.290000,26.620000,30.370000,40.660000,60.040000,103.920000,172.180000,363.550000,638.370000,1186.710000,2581.480000,5050.311000,10194.723000,20106.335000
20.380000,21.800000,23.900000,27.810000,36.810000,57.380000,96.310000,166.390000,330.540000,628.341000,1192.480000,2467.771000,5367.292000,10297.453000,19529.515000
19.970000,21.240000,23.900000,27.310000,37.170000,57.340000,96.230000,171.480000,324.230000,629.140000,1179.180000,2532.421000,5025.931000,10151.303000,20081.355000
19.860000,21.070000,23.550000,27.200000,37.560000,57.170000,95.720000,171.580000,317.301000,678.180000,1174.940000,2560.170000,4982.161000,11194.573000,20795.466000
20.150000,21.200000,23.650000,27.420000,36.600000,55.730000,95.540000,175.560000,317.260000,675.890000,1179.900000,2345.581000,5240.872000,10432.702000,18928.075000
19.690000,21.220000,23.880000,27.980000,37.190000,56.140000,95.230000,171.110000,325.030000,652.270000,1186.850000,2533.151000,5147.271000,10553.542000,19928.196000
20.150000,21.140000,23.190000,27.200000,38.140000,54.570000,95.340000,170.570000,412.680000,689.231000,1179.451000,2392.920000,4947.692000,10056.583000,19723.325000
20.270000,21.280000,23.220000,27.500000,37.840000,54.690000,95.560000,167.660000,383.520000,639.960000,1173.890000,2301.991000,5388.621000,10175.313000,19067.245000
19.700000,21.610000,23.420000,27.510000,37.720000,55.640000,101.480000,167.460000,317.860000,635.810000,1320.660000,2367.561000,5200.481000,10382.283000,19495.446000
19.840000,21.910000,23.980000,27.010000,38.050000,58.930000,95.970000,170.140000,313.610000,646.100000,1188.130000,2336.420000,5088.202000,10727.343000,20679.065000
20.020000,20.870000,23.210000,27.070000,37.370000,55.900000,94.890000,171.130000,319.260000,649.770000,1159.680000,2328.291000,5280.101000,10078.352000,18977.454000
19.640000,20.800000,23.520000,27.260000,36.670000,55.820000,94.720000,165.620000,320.010000,639.780000,1190.700000,2521.071000,6053.672000,10832.853000,18853.715000
19.950000,21.090000,23.450000,27.510000,38.600000,56.400000,95.080000,165.470000,323.850000,642.171000,1212.431000,2452.680000,4955.211000,10322.453000,19927.965000
20.740000,20.820000,23.320000,27.420000,38.170000,55.960000,95.410000,168.120000,319.471000,633.710000,1192.250000,2442.711000,5640.932000,10404.153000,19271.745000
20.040000,20.900000,23.680000,27.450000,37.210000,55.950000,95.180000,166.890000,323.570000,642.160000,1181.250000,2408.221000,5024.231000,10853.823000,19516.306000
19.730000,21.230000,31.510000,27.260000,37.330000,55.780000,94.910000,168.990000,323.210000,672.120000,1165.461000,3138.510000,5135.472000,10647.243000,21040.685000
19.750000,20.890000,23.210000,27.060000,37.730000,55.970000,94.990000,171.051000,317.650000,666.990000,1161.300000,3261.770000,5090.211000,10124.773000,21354.775000
