64,128,256,512,1K,2K,4K,8K,16K,32K,64K,128K,256K,512K,1M
36.910000,37.850000,41.800000,44.400000,54.960000,71.470000,104.240000,181.590000,330.500000,649.770000,1228.710000,2641.021000,4581.672000,9852.823000,20027.875000
20.190000,20.860000,23.430000,32.120000,37.250000,56.300000,85.680000,162.140000,365.760000,651.660000,1225.640000,2410.330000,4882.451000,9805.342000,18785.755000
19.120000,20.090000,22.700000,27.220000,37.360000,53.500000,86.170000,160.110000,326.551000,641.710000,1238.081000,2531.881000,4741.291000,9803.483000,18554.375000
18.680000,19.750000,22.290000,26.680000,35.590000,53.200000,83.210000,200.050000,370.920000,652.171000,1329.690000,2490.021000,4633.302000,10079.483000,18654.865000
18.520000,19.830000,22.160000,26.570000,35.400000,53.060000,86.120000,163.680000,456.370000,644.010000,1237.300000,2463.051000,4777.181000,9861.132000,18404.835000
19.920000,19.750000,21.900000,26.940000,35.210000,53.200000,86.000000,160.470000,423.920000,632.520000,1236.141000,2432.680000,4595.971000,9823.643000,18391.085000
18.540000,19.480000,22.670000,26.350000,36.550000,53.210000,86.000000,159.661000,412.540000,624.610000,1241.160000,2345.501000,4733.571000,9723.643000,18395.405000
18.420000,19.630000,22.900000,26.650000,36.150000,52.970000,85.720000,159.980000,416.770000,657.900000,1237.230000,2708.891000,4718.222000,9762.102000,18371.615000
18.280000,19.640000,22.160000,27.120000,35.170000,54.290000,91.230000,159.570000,424.520000,698.590000,1230.221000,2621.600000,4716.181000,9759.843000,18192.985000
18.470000,19.390000,22.060000,26.640000,35.400000,54.860000,85.520000,160.160000,328.300000,640.991000,1240.770000,2400.781000,4643.071000,9674.913000,18208.545000
18.170000,19.440000,22.110000,26.400000,36.250000,53.050000,85.590000,159.730000,318.220000,676.460000,1237.401000,2491.541000,4658.272000,9600.342000,18293.845000
18.240000,19.650000,37.520000,26.450000,35.550000,53.220000,90.950000,159.590000,364.521000,610.680000,1230.400000,2479.490000,4856.511000,9885.773000,18298.685000
18.520000,19.330000,23.200000,27.290000,35.920000,53.290000,86.030000,159.650000,323.800000,623.650000,1250.010000,2461.301000,4603.381000,9754.203000,18241.585000
18.400000,19.820000,22.340000,26.310000,34.910000,54.820000,84.530000,159.460000,316.650000,610.350000,1236.701000,2394.591000,4578.411000,9787.522000,18354.395000
18.900000,28.970000,21.940000,26.060000,36.050000,54.880000,84.800000,159.700000,325.350000,615.600000,1215.240000,2462.160000,4588.652000,9483.913000,18403.505000
18.740000,23.150000,22.170000,27.080000,35.320000,53.000000,84.650000,161.020000,315.560000,621.400000,1330.530000,2434.861000,4862.571000,9523.072000,18223.395000
18.600000,19.600000,22.190000,26.520000,35.060000,53.730000,86.380000,158.220000,317.810000,629.180000,1234.111000,2406.471000,4648.861000,9750.073000,18344.305000
18.680000,19.280000,22.540000,26.550000,35.730000,53.340000,88.050000,168.970000,324.820000,629.290000,1248.700000,2393.540000,4786.292000,9605.603000,18320.625000
